Winner,Margin,Balls Rem,Target,Overs,,Opposition,Ground,Match Date,Scorecard
India,10 wickets,181,121,29.5,,v East Africa,Leeds,11 Jun 1975,ODI # 24
New Zealand,10 wickets,30,113,29.0,,v India,Melbourne,10 Jan 1981,ODI # 105
West Indies,10 wickets,89,172,45.1,,v Zimbabwe,Birmingham,20 Jun 1983,ODI # 220
India,10 wickets,170,97,21.4,,v Sri Lanka,Sharjah,8 Apr 1984,ODI # 260
West Indies,10 wickets,154,117,24.2,,v New Zealand,Port of Spain,17 Apr 1985,ODI # 327
Pakistan,10 wickets,164,65,22.4,,v New Zealand,Sharjah,15 Apr 1986,ODI # 384
West Indies,10 wickets,64,192,39.2,,v New Zealand,Christchurch,28 Mar 1987,ODI # 441
West Indies,10 wickets,19,221,46.5,,v Pakistan,Melbourne,23 Feb 1992,ODI # 717
West Indies,10 wickets,145,153,25.5,,v South Africa,Port of Spain,11 Apr 1992,ODI # 754
India,10 wickets,101,113,23.1,,v West Indies,Port of Spain,27 Apr 1997,ODI # 1201
West Indies,10 wickets,32,200,44.4,,v India,Bridgetown,3 May 1997,ODI # 1203
India,10 wickets,120,197,30.0,,v Zimbabwe,Sharjah,13 Nov 1998,ODI # 1374
South Africa,10 wickets,124,165,29.2,,v India,Sharjah,22 Mar 2000,ODI # 1577
England,10 wickets,88,170,35.2,,v West Indies,Chester-le-Street,15 Jul 2000,ODI # 1615
Australia,10 wickets,163,124,22.5,,v West Indies,Adelaide,26 Jan 2001,ODI # 1677
Sri Lanka,10 wickets,97,166,33.5,,v England,Colombo (SSC),27 Mar 2001,ODI # 1697
India,10 wickets,231,91,11.3,,v Kenya,Bloemfontein,12 Oct 2001,ODI # 1758
South Africa,10 wickets,178,155,20.2,,v Bangladesh,Benoni,6 Oct 2002,ODI # 1891
Australia,10 wickets,226,118,12.2,,v England,Sydney,23 Jan 2003,ODI # 1940
South Africa,10 wickets,172,141,21.2,,v Kenya,Potchefstroom,12 Feb 2003,ODI # 1947
Sri Lanka,10 wickets,173,125,21.1,,v Bangladesh,Pietermaritzburg,14 Feb 2003,ODI # 1950
South Africa,10 wickets,228,109,12.0,,v Bangladesh,Bloemfontein,22 Feb 2003,ODI # 1961
Sri Lanka,10 wickets,217,89,13.5,,v England,Dambulla,18 Nov 2003,ODI # 2063
Sri Lanka,10 wickets,99,191,33.3,,v Bangladesh,Colombo (RPS),23 Jul 2004,ODI # 2151
England,10 wickets,151,191,24.5,,v Bangladesh,The Oval,16 Jun 2005,ODI # 2249
Australia,10 wickets,186,140,19.0,,v Bangladesh,Manchester,25 Jun 2005,ODI # 2254
South Africa,10 wickets,85,189,35.5,,v India,Kolkata,25 Nov 2005,ODI # 2299
West Indies,10 wickets,134,153,27.4,,v Zimbabwe,Gros Islet,10 May 2006,ODI # 2371
West Indies,10 wickets,80,162,36.4,,v Bangladesh,Jaipur,11 Oct 2006,ODI # 2426
Kenya,10 wickets,191,134,18.1,,v Bermuda,Nairobi (Jaff),29 Jan 2007,ODI # 2489
South Africa,10 wickets,216,108,14.0,,v Pakistan,Cape Town,11 Feb 2007,ODI # 2521
New Zealand,10 wickets,138,149,27.0,,v Australia,Wellington,16 Feb 2007,ODI # 2524
Australia,10 wickets,49,105,13.5,,v Bangladesh,North Sound,31 Mar 2007,ODI # 2559
West Indies,10 wickets,213,81,14.3,,v Netherlands,Dublin,10 Jul 2007,ODI # 2599
New Zealand,10 wickets,264,94,6.0,,v Bangladesh,Queenstown,31 Dec 2007,ODI # 2660
New Zealand,10 wickets,107,165,18.1,,v England,Hamilton,12 Feb 2008,ODI # 2677
Pakistan,10 wickets,182,116,19.4,,v Bangladesh,Karachi,4 Jul 2008,ODI # 2733
England,10 wickets,215,84,14.1,,v South Africa,Nottingham,26 Aug 2008,ODI # 2754
New Zealand,10 wickets,252,70,8.0,,v Kenya,Chennai,20 Feb 2011,ODI # 3101
New Zealand,10 wickets,99,163,33.3,,v Zimbabwe,Ahmedabad,4 Mar 2011,ODI # 3117
Pakistan,10 wickets,175,113,20.5,,v West Indies,Dhaka,23 Mar 2011,ODI # 3142
Sri Lanka,10 wickets,63,230,39.3,,v England,Colombo (RPS),26 Mar 2011,ODI # 3145
West Indies,10 wickets,159,140,23.3,,v Pakistan,Providence,5 May 2011,ODI # 3156
England,10 wickets,145,171,23.5,,v Sri Lanka,Nottingham,6 Jul 2011,ODI # 3169
Pakistan,10 wickets,47,226,42.1,,v Zimbabwe,Harare,11 Sep 2011,ODI # 3190
England,10 wickets,227,68,12.1,,v Sri Lanka,Manchester,28 May 2014,ODI # 3494
New Zealand,10 wickets,46,236,42.2,,v Zimbabwe,Harare,4 Aug 2015,ODI # 3674
New Zealand,10 wickets,250,118,8.2,,v Sri Lanka,Christchurch,28 Dec 2015,ODI # 3715
India,10 wickets,169,124,21.5,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
England,10 wickets,95,255,34.1,,v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
South Africa,10 wickets,43,279,42.5,,v Bangladesh,Kimberley,15 Oct 2017,ODI # 3923
Sri Lanka,10 wickets,229,83,11.5,,v Bangladesh,Dhaka,25 Jan 2018,ODI # 3965
Afghanistan,10 wickets,173,135,21.1,,v Zimbabwe,Sharjah,16 Feb 2018,ODI # 3977
